feature,frequency
feature_126,3
feature_347,2
feature_416,2
feature_124,2
feature_352,2
feature_354,2
feature_346,1
feature_461,1
feature_127,1
feature_41,1
feature_255,1
feature_488,1
feature_213,1
feature_361,1
feature_223,1
feature_54,1
feature_97,1
feature_380,1
feature_248,1
feature_225,1
feature_100,1
feature_34,1
feature_106,1
feature_102,1
feature_107,1
feature_55,1
feature_148,1
feature_87,1
feature_35,1
feature_340,1
feature_450,1
feature_321,1
feature_99,1
feature_95,1
feature_104,1
feature_108,1
feature_350,1
feature_400,1
feature_253,1
feature_336,1
feature_353,1
feature_281,1
feature_355,1
feature_386,1
feature_426,1
feature_377,1
feature_388,1
feature_130,1
feature_226,1
feature_40,1
feature_439,1
feature_238,1
feature_312,1
feature_329,1
feature_24,1
feature_292,1
feature_274,1
feature_135,1
feature_131,1
feature_437,1
feature_364,1
feature_362,1
feature_310,1
feature_133,1
feature_123,1
feature_304,1
feature_349,1
feature_417,1
