feature,importance,target,rank
feature_346,0.058808032,hydraulic_accumulator,1
feature_461,0.046506934,hydraulic_accumulator,2
feature_126,0.040483978,hydraulic_accumulator,3
feature_347,0.020957004,hydraulic_accumulator,4
feature_41,0.013762631,hydraulic_accumulator,5
feature_488,0.013049215,hydraulic_accumulator,6
feature_255,0.012865197,hydraulic_accumulator,7
feature_127,0.012561279,hydraulic_accumulator,8
feature_124,0.011414438,hydraulic_accumulator,9
feature_380,0.010990876,hydraulic_accumulator,10
feature_54,0.28350028,cooler_condition,1
feature_97,0.0812384,cooler_condition,2
feature_95,0.07062632,cooler_condition,3
feature_126,0.059273303,cooler_condition,4
feature_104,0.05648291,cooler_condition,5
feature_108,0.055136,cooler_condition,6
feature_100,0.05263776,cooler_condition,7
feature_34,0.047535833,cooler_condition,8
feature_106,0.036507674,cooler_condition,9
feature_102,0.033166695,cooler_condition,10
feature_340,0.03316053,internal_pump_leakage,1
feature_450,0.029434534,internal_pump_leakage,2
feature_321,0.026875572,internal_pump_leakage,3
feature_99,0.024451932,internal_pump_leakage,4
feature_253,0.021188896,internal_pump_leakage,5
feature_400,0.019069906,internal_pump_leakage,6
feature_350,0.018899137,internal_pump_leakage,7
feature_354,0.016215295,internal_pump_leakage,8
feature_386,0.01592284,internal_pump_leakage,9
feature_336,0.013638764,internal_pump_leakage,10
feature_426,0.029434284,stable_flag,1
feature_416,0.026723225,stable_flag,2
feature_377,0.026350023,stable_flag,3
feature_388,0.025058044,stable_flag,4
feature_130,0.020397127,stable_flag,5
feature_352,0.016161894,stable_flag,6
feature_226,0.015334453,stable_flag,7
feature_40,0.0148279555,stable_flag,8
feature_439,0.014813405,stable_flag,9
feature_126,0.014309052,stable_flag,10
feature_274,0.013335824,valve_condition,1
feature_135,0.011331415,valve_condition,2
feature_416,0.009549704,valve_condition,3
feature_131,0.008335988,valve_condition,4
feature_437,0.007811811,valve_condition,5
feature_364,0.007644844,valve_condition,6
feature_362,0.00737681,valve_condition,7
feature_310,0.0072457176,valve_condition,8
feature_133,0.006655067,valve_condition,9
feature_354,0.006650289,valve_condition,10
