,missing_fraction
VS1_t21,0.0
VS1_t22,0.0
VS1_t23,0.0
VS1_t24,0.0
VS1_t25,0.0
VS1_t26,0.0
VS1_t27,0.0
VS1_t28,0.0
VS1_t13,0.0
VS1_t14,0.0
VS1_t15,0.0
VS1_t16,0.0
VS1_t17,0.0
VS1_t18,0.0
VS1_t19,0.0
VS1_t20,0.0
VS1_t5,0.0
VS1_t6,0.0
VS1_t7,0.0
VS1_t8,0.0
VS1_t9,0.0
VS1_t10,0.0
VS1_t11,0.0
VS1_t12,0.0
TS4_t57,0.0
TS4_t58,0.0
TS4_t59,0.0
TS4_t60,0.0
VS1_t1,0.0
VS1_t2,0.0
VS1_t3,0.0
VS1_t4,0.0
CE_t57,0.0
CE_t58,0.0
CE_t59,0.0
CE_t60,0.0
CP_t1,0.0
CP_t2,0.0
CP_t3,0.0
CP_t4,0.0
CE_t49,0.0
CE_t50,0.0
CE_t51,0.0
CE_t52,0.0
CE_t53,0.0
CE_t54,0.0
CE_t55,0.0
CE_t56,0.0
CE_t41,0.0
CE_t42,0.0
CE_t43,0.0
CE_t44,0.0
CE_t45,0.0
CE_t46,0.0
CE_t47,0.0
CE_t48,0.0
CE_t33,0.0
CE_t34,0.0
CE_t35,0.0
CE_t36,0.0
CE_t37,0.0
CE_t38,0.0
CE_t39,0.0
CE_t40,0.0
CP_t29,0.0
CP_t30,0.0
CP_t31,0.0
CP_t32,0.0
CP_t33,0.0
CP_t34,0.0
CP_t35,0.0
CP_t36,0.0
CP_t21,0.0
CP_t22,0.0
CP_t23,0.0
CP_t24,0.0
CP_t25,0.0
CP_t26,0.0
CP_t27,0.0
CP_t28,0.0
CP_t13,0.0
CP_t14,0.0
CP_t15,0.0
CP_t16,0.0
CP_t17,0.0
CP_t18,0.0
CP_t19,0.0
CP_t20,0.0
CP_t5,0.0
CP_t6,0.0
CP_t7,0.0
CP_t8,0.0
CP_t9,0.0
CP_t10,0.0
CP_t11,0.0
CP_t12,0.0
EPS1_t1,0.0
EPS1_t2,0.0
EPS1_t3,0.0
EPS1_t4,0.0
EPS1_t5,0.0
EPS1_t6,0.0
EPS1_t7,0.0
EPS1_t8,0.0
CP_t53,0.0
CP_t54,0.0
CP_t55,0.0
CP_t56,0.0
CP_t57,0.0
CP_t58,0.0
CP_t59,0.0
