,count,mean,std,min,25%,50%,75%,max
CE_t1,2205.0,31.325612698412698,11.532175287740417,17.356,20.165,27.334,46.651,48.136
CE_t2,2205.0,31.364606349206348,11.512518857600284,17.552,20.26,27.397,46.675,48.057
CE_t3,2205.0,31.395766893424035,11.504074886676818,17.44,20.333,27.446,46.69,48.124
CE_t4,2205.0,31.402451247165533,11.504152768858022,17.416,20.387,27.455,46.686,48.112
CE_t5,2205.0,31.395372789115644,11.521064669888492,17.392,20.367,27.424,46.693,48.159
CE_t6,2205.0,31.37101587301587,11.53915026619813,17.404,20.328,27.384,46.686,48.253
CE_t7,2205.0,31.351265306122453,11.566625672519331,17.456,20.24,27.356,46.711,48.158
CE_t8,2205.0,31.339064852607713,11.579167092817883,17.396,20.149,27.351,46.698,48.219
CE_t9,2205.0,31.30785215419501,11.571699621044978,17.506,20.113,27.351,46.678,48.146
CE_t10,2205.0,31.23856054421768,11.538494166340076,17.364,20.071,27.313,46.544,48.04
CE_t11,2205.0,31.256251700680274,11.523119305103496,17.418,20.134,27.369,46.513,48.018
CE_t12,2205.0,31.28559591836735,11.517505368022775,17.372,20.222,27.435,46.53,47.956
CE_t13,2205.0,31.32469342403628,11.518115243265637,17.389,20.281,27.452,46.571,48.088
CE_t14,2205.0,31.357884807256234,11.529084496284941,17.372,20.302,27.512,46.619,48.231
CE_t15,2205.0,31.395602267573697,11.556854091565468,17.364,20.333,27.561,46.689,48.232
CE_t16,2205.0,31.436165532879816,11.590660853355375,17.565,20.328,27.582,46.794,48.319
CE_t17,2205.0,31.47667891156463,11.639269905503225,17.602,20.282,27.609,46.878,48.283
CE_t18,2205.0,31.530465759637185,11.672611994703074,17.847,20.259,27.644,46.989,48.463
CE_t19,2205.0,31.566298866213153,11.68479630858669,17.803,20.249,27.731,47.045,48.439
CE_t20,2205.0,31.62028299319728,11.68432598252013,17.983,20.286,27.801,47.091,48.777
CE_t21,2205.0,31.66161859410431,11.666111530903045,17.922,20.353,27.849,47.085,48.474
CE_t22,2205.0,31.693108390022676,11.642058339438934,17.945,20.41,27.878,47.093,48.509
CE_t23,2205.0,31.698149659863944,11.6233439299415,17.842,20.461,27.892,47.088,48.466
CE_t24,2205.0,31.67447346938776,11.614240476874603,17.888,20.466,27.858,47.053,48.461
CE_t25,2205.0,31.620571428571424,11.611563512237685,18.031,20.418,27.773,47.022,48.437
CE_t26,2205.0,31.55361315192744,11.62612165298976,17.837,20.317,27.686,46.958,48.473
CE_t27,2205.0,31.483423582766438,11.635714830444003,17.798,20.215,27.582,46.898,48.414
CE_t28,2205.0,31.436008163265306,11.638056522331949,17.61,20.118,27.562,46.82,48.38
CE_t29,2205.0,31.400381859410434,11.635067432391404,17.533,20.067,27.54,46.796,48.353
CE_t30,2205.0,31.385511111111114,11.633131447330124,17.672,20.022,27.551,46.76,48.377
