column,sensor,group
CE_t1,CE,cooler
CE_t2,CE,cooler
CE_t3,CE,cooler
CE_t4,CE,cooler
CE_t5,CE,cooler
CE_t6,CE,cooler
CE_t7,CE,cooler
CE_t8,CE,cooler
CE_t9,CE,cooler
CE_t10,CE,cooler
CE_t11,CE,cooler
CE_t12,CE,cooler
CE_t13,CE,cooler
CE_t14,CE,cooler
CE_t15,CE,cooler
CE_t16,CE,cooler
CE_t17,CE,cooler
CE_t18,CE,cooler
CE_t19,CE,cooler
CE_t20,CE,cooler
CE_t21,CE,cooler
CE_t22,CE,cooler
CE_t23,CE,cooler
CE_t24,CE,cooler
CE_t25,CE,cooler
CE_t26,CE,cooler
CE_t27,CE,cooler
CE_t28,CE,cooler
CE_t29,CE,cooler
CE_t30,CE,cooler
CE_t31,CE,cooler
CE_t32,CE,cooler
CE_t33,CE,cooler
CE_t34,CE,cooler
CE_t35,CE,cooler
CE_t36,CE,cooler
CE_t37,CE,cooler
CE_t38,CE,cooler
CE_t39,CE,cooler
CE_t40,CE,cooler
CE_t41,CE,cooler
CE_t42,CE,cooler
CE_t43,CE,cooler
CE_t44,CE,cooler
CE_t45,CE,cooler
CE_t46,CE,cooler
CE_t47,CE,cooler
CE_t48,CE,cooler
CE_t49,CE,cooler
CE_t50,CE,cooler
CE_t51,CE,cooler
CE_t52,CE,cooler
CE_t53,CE,cooler
CE_t54,CE,cooler
CE_t55,CE,cooler
CE_t56,CE,cooler
CE_t57,CE,cooler
CE_t58,CE,cooler
CE_t59,CE,cooler
CE_t60,CE,cooler
CP_t1,CP,cooler
CP_t2,CP,cooler
CP_t3,CP,cooler
CP_t4,CP,cooler
CP_t5,CP,cooler
CP_t6,CP,cooler
CP_t7,CP,cooler
CP_t8,CP,cooler
CP_t9,CP,cooler
CP_t10,CP,cooler
CP_t11,CP,cooler
CP_t12,CP,cooler
CP_t13,CP,cooler
CP_t14,CP,cooler
CP_t15,CP,cooler
CP_t16,CP,cooler
CP_t17,CP,cooler
CP_t18,CP,cooler
CP_t19,CP,cooler
CP_t20,CP,cooler
CP_t21,CP,cooler
CP_t22,CP,cooler
CP_t23,CP,cooler
CP_t24,CP,cooler
CP_t25,CP,cooler
CP_t26,CP,cooler
CP_t27,CP,cooler
CP_t28,CP,cooler
CP_t29,CP,cooler
CP_t30,CP,cooler
CP_t31,CP,cooler
CP_t32,CP,cooler
CP_t33,CP,cooler
CP_t34,CP,cooler
CP_t35,CP,cooler
CP_t36,CP,cooler
CP_t37,CP,cooler
CP_t38,CP,cooler
CP_t39,CP,cooler
CP_t40,CP,cooler
CP_t41,CP,cooler
CP_t42,CP,cooler
CP_t43,CP,cooler
CP_t44,CP,cooler
CP_t45,CP,cooler
CP_t46,CP,cooler
CP_t47,CP,cooler
CP_t48,CP,cooler
CP_t49,CP,cooler
CP_t50,CP,cooler
CP_t51,CP,cooler
CP_t52,CP,cooler
CP_t53,CP,cooler
CP_t54,CP,cooler
CP_t55,CP,cooler
CP_t56,CP,cooler
CP_t57,CP,cooler
CP_t58,CP,cooler
CP_t59,CP,cooler
CP_t60,CP,cooler
EPS1_t1,EPS1,electrical
EPS1_t2,EPS1,electrical
EPS1_t3,EPS1,electrical
EPS1_t4,EPS1,electrical
EPS1_t5,EPS1,electrical
EPS1_t6,EPS1,electrical
EPS1_t7,EPS1,electrical
EPS1_t8,EPS1,electrical
EPS1_t9,EPS1,electrical
EPS1_t10,EPS1,electrical
EPS1_t11,EPS1,electrical
EPS1_t12,EPS1,electrical
EPS1_t13,EPS1,electrical
EPS1_t14,EPS1,electrical
EPS1_t15,EPS1,electrical
EPS1_t16,EPS1,electrical
EPS1_t17,EPS1,electrical
EPS1_t18,EPS1,electrical
EPS1_t19,EPS1,electrical
EPS1_t20,EPS1,electrical
EPS1_t21,EPS1,electrical
EPS1_t22,EPS1,electrical
EPS1_t23,EPS1,electrical
EPS1_t24,EPS1,electrical
EPS1_t25,EPS1,electrical
EPS1_t26,EPS1,electrical
EPS1_t27,EPS1,electrical
EPS1_t28,EPS1,electrical
EPS1_t29,EPS1,electrical
EPS1_t30,EPS1,electrical
EPS1_t31,EPS1,electrical
EPS1_t32,EPS1,electrical
EPS1_t33,EPS1,electrical
EPS1_t34,EPS1,electrical
EPS1_t35,EPS1,electrical
EPS1_t36,EPS1,electrical
EPS1_t37,EPS1,electrical
EPS1_t38,EPS1,electrical
EPS1_t39,EPS1,electrical
EPS1_t40,EPS1,electrical
EPS1_t41,EPS1,electrical
EPS1_t42,EPS1,electrical
EPS1_t43,EPS1,electrical
EPS1_t44,EPS1,electrical
EPS1_t45,EPS1,electrical
EPS1_t46,EPS1,electrical
EPS1_t47,EPS1,electrical
EPS1_t48,EPS1,electrical
EPS1_t49,EPS1,electrical
EPS1_t50,EPS1,electrical
EPS1_t51,EPS1,electrical
EPS1_t52,EPS1,electrical
EPS1_t53,EPS1,electrical
EPS1_t54,EPS1,electrical
EPS1_t55,EPS1,electrical
EPS1_t56,EPS1,electrical
EPS1_t57,EPS1,electrical
EPS1_t58,EPS1,electrical
EPS1_t59,EPS1,electrical
EPS1_t60,EPS1,electrical
EPS1_t61,EPS1,electrical
EPS1_t62,EPS1,electrical
EPS1_t63,EPS1,electrical
EPS1_t64,EPS1,electrical
EPS1_t65,EPS1,electrical
EPS1_t66,EPS1,electrical
EPS1_t67,EPS1,electrical
EPS1_t68,EPS1,electrical
EPS1_t69,EPS1,electrical
EPS1_t70,EPS1,electrical
EPS1_t71,EPS1,electrical
EPS1_t72,EPS1,electrical
EPS1_t73,EPS1,electrical
EPS1_t74,EPS1,electrical
EPS1_t75,EPS1,electrical
EPS1_t76,EPS1,electrical
EPS1_t77,EPS1,electrical
EPS1_t78,EPS1,electrical
EPS1_t79,EPS1,electrical
EPS1_t80,EPS1,electrical
EPS1_t81,EPS1,electrical
EPS1_t82,EPS1,electrical
EPS1_t83,EPS1,electrical
EPS1_t84,EPS1,electrical
EPS1_t85,EPS1,electrical
EPS1_t86,EPS1,electrical
