,variance
EPS1_t993,23158.332230790442
EPS1_t994,23154.994691951557
EPS1_t992,23067.388871143376
EPS1_t995,23039.98358913705
EPS1_t996,23000.635423237898
EPS1_t991,22868.443996164468
EPS1_t997,22818.44520508167
EPS1_t998,22681.719458613694
EPS1_t990,22546.53756654362
EPS1_t999,22354.265654991334
EPS1_t989,22118.176934256826
EPS1_t1000,21907.844518982183
EPS1_t988,21549.557154264974
EPS1_t1001,21451.128121041518
EPS1_t1002,20973.332451868588
EPS1_t987,20959.840982670135
EPS1_t4837,20682.520828787896
EPS1_t4835,20681.895982814174
EPS1_t4836,20681.706435168377
EPS1_t4838,20681.60260154491
EPS1_t4912,20681.365392759402
EPS1_t4839,20681.03495462795
EPS1_t4842,20680.5484437366
EPS1_t4840,20679.2982722323
EPS1_t4841,20679.097644653506
